movie_id,movie_title,director_id,director_name
19995,Avatar,2710,James Cameron
285,Pirates of the Caribbean: At World's End,1704,Gore Verbinski
206647,Spectre,39,Sam Mendes
49026,The Dark Knight Rises,525,Christopher Nolan
49529,John Carter,7,Andrew Stanton
559,Spider-Man 3,7623,Sam Raimi
38757,Tangled,76595,Byron Howard
38757,Tangled,121830,Nathan Greno
99861,Avengers: Age of Ultron,12891,Joss Whedon
767,Harry Potter and the Half-Blood Prince,11343,David Yates
209112,Batman v Superman: Dawn of Justice,15217,Zack Snyder
1452,Superman Returns,9032,Bryan Singer
10764,Quantum of Solace,12995,Marc Forster
58,Pirates of the Caribbean: Dead Man's Chest,1704,Gore Verbinski
57201,The Lone Ranger,1704,Gore Verbinski
49521,Man of Steel,15217,Zack Snyder
2454,The Chronicles of Narnia: Prince Caspian,5524,Andrew Adamson
24428,The Avengers,12891,Joss Whedon
1865,Pirates of the Caribbean: On Stranger Tides,17633,Rob Marshall
41154,Men in Black 3,5174,Barry Sonnenfeld
122917,The Hobbit: The Battle of the Five Armies,108,Peter Jackson
1930,The Amazing Spider-Man,87742,Marc Webb
20662,Robin Hood,578,Ridley Scott
57158,The Hobbit: The Desolation of Smaug,108,Peter Jackson
2268,The Golden Compass,3288,Chris Weitz
254,King Kong,108,Peter Jackson
597,Titanic,2710,James Cameron
271110,Captain America: Civil War,19271,Anthony Russo
271110,Captain America: Civil War,19272,Joe Russo
44833,Battleship,36602,Peter Berg
135397,Jurassic World,930707,Colin Trevorrow
37724,Skyfall,39,Sam Mendes
558,Spider-Man 2,7623,Sam Raimi
68721,Iron Man 3,1108,Shane Black
12155,Alice in Wonderland,510,Tim Burton
36668,X-Men: The Last Stand,11091,Brett Ratner
62211,Monsters University,225976,Dan Scanlon
8373,Transformers: Revenge of the Fallen,865,Michael Bay
91314,Transformers: Age of Extinction,865,Michael Bay
68728,Oz: The Great and Powerful,7623,Sam Raimi
102382,The Amazing Spider-Man 2,87742,Marc Webb
20526,TRON: Legacy,86270,Joseph Kosinski
49013,Cars 2,7879,John Lasseter
49013,Cars 2,32532,Brad Lewis
44912,Green Lantern,10702,Martin Campbell
10193,Toy Story 3,8,Lee Unkrich
534,Terminator Salvation,36425,McG
168259,Furious 7,2127,James Wan
72190,World War Z,12995,Marc Forster
127585,X-Men: Days of Future Past,9032,Bryan Singer
54138,Star Trek Into Darkness,15344,J.J. Abrams
81005,Jack the Giant Slayer,9032,Bryan Singer
64682,The Great Gatsby,6201,Baz Luhrmann
9543,Prince of Persia: The Sands of Time,10723,Mike Newell
68726,Pacific Rim,10828,Guillermo del Toro
38356,Transformers: Dark of the Moon,865,Michael Bay
217,Indiana Jones and the Kingdom of the Crystal Skull,488,Steven Spielberg
105864,The Good Dinosaur,21198,Peter Sohn
62177,Brave,59803,Brenda Chapman
62177,Brave,126638,Mark Andrews
62177,Brave,137262,Steve Purcell
188927,Star Trek Beyond,58189,Justin Lin
10681,WALL·E,7,Andrew Stanton
5174,Rush Hour 3,11091,Brett Ratner
14161,2012,6046,Roland Emmerich
17979,A Christmas Carol,24,Robert Zemeckis
76757,Jupiter Ascending,9339,Lilly Wachowski
76757,Jupiter Ascending,9340,Lana Wachowski
258489,The Legend of Tarzan,11343,David Yates
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",5524,Andrew Adamson
246655,X-Men: Apocalypse,9032,Bryan Singer
155,The Dark Knight,525,Christopher Nolan
14160,Up,12890,Pete Docter
15512,Monsters vs Aliens,12080,Conrad Vernon
15512,Monsters vs Aliens,65630,Rob Letterman
1726,Iron Man,15277,Jon Favreau
44826,Hugo,1032,Martin Scorsese
8487,Wild Wild West,5174,Barry Sonnenfeld
1735,The Mummy: Tomb of the Dragon Emperor,18878,Rob Cohen
297761,Suicide Squad,19769,David Ayer
2698,Evan Almighty,4499,Tom Shadyac
137113,Edge of Tomorrow,11694,Doug Liman
9804,Waterworld,8300,Kevin Reynolds
14869,G.I. Joe: The Rise of Cobra,7775,Stephen Sommers
150540,Inside Out,12890,Pete Docter
278927,The Jungle Book,15277,Jon Favreau
10138,Iron Man 2,15277,Jon Favreau
58595,Snow White and the Huntsman,228134,Rupert Sanders
102651,Maleficent,1032536,Robert Stromberg
119450,Dawn of the Planet of the Apes,32278,Matt Reeves
79698,The Lovers,8965,Roland Joffé
64686,47 Ronin,239571,Carl Rinsch
100402,Captain America: The Winter Soldier,19271,Anthony Russo
100402,Captain America: The Winter Soldier,19272,Joe Russo
10192,Shrek Forever After,64151,Mike Mitchell
158852,Tomorrowland,7087,Brad Bird
177572,Big Hero 6,70238,Chris Williams
177572,Big Hero 6,227439,Don Hall
82690,Wreck-It Ralph,165787,Rich Moore
5255,The Polar Express,24,Robert Zemeckis
47933,Independence Day: Resurgence,6046,Roland Emmerich
10191,How to Train Your Dragon,66193,Chris Sanders
10191,How to Train Your Dragon,69797,Dean DeBlois
296,Terminator 3: Rise of the Machines,7213,Jonathan Mostow
118340,Guardians of the Galaxy,15218,James Gunn
157336,Interstellar,525,Christopher Nolan
27205,Inception,525,Christopher Nolan
315011,Shin Godzilla,77921,Hideaki Anno
315011,Shin Godzilla,80752,Shinji Higuchi
49051,The Hobbit: An Unexpected Journey,108,Peter Jackson
9799,The Fast and the Furious,18878,Rob Cohen
4922,The Curious Case of Benjamin Button,7467,David Fincher
49538,X-Men: First Class,957,Matthew Vaughn
131634,The Hunger Games: Mockingjay - Part 2,10943,Francis Lawrence
27022,The Sorcerer's Apprentice,12962,Jon Turteltaub
503,Poseidon,5231,Wolfgang Petersen
241259,Alice Through the Looking Glass,26205,James Bobin
810,Shrek the Third,12098,Chris Miller
810,Shrek the Third,12099,Raman Hui
68735,Warcraft,81850,Duncan Jones
87101,Terminator Genisys,47005,Alan Taylor
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,10781,Michael Apted
676,Pearl Harbor,865,Michael Bay
1858,Transformers,865,Michael Bay
1966,Alexander,1152,Oliver Stone
675,Harry Potter and the Order of the Phoenix,11343,David Yates
674,Harry Potter and the Goblet of Fire,10723,Mike Newell
8960,Hancock,36602,Peter Berg
6479,I Am Legend,10943,Francis Lawrence
