movie_id,movie_title,actor_id,actor_name
19995,Avatar,65731,Sam Worthington
19995,Avatar,8691,Zoe Saldana
19995,Avatar,10205,Sigourney Weaver
19995,Avatar,32747,Stephen Lang
19995,Avatar,17647,Michelle Rodriguez
285,Pirates of the Caribbean: At World's End,85,Johnny Depp
285,Pirates of the Caribbean: At World's End,114,Orlando Bloom
285,Pirates of the Caribbean: At World's End,116,Keira Knightley
285,Pirates of the Caribbean: At World's End,1640,Stellan Skarsgård
285,Pirates of the Caribbean: At World's End,1619,Chow Yun-fat
206647,Spectre,8784,Daniel Craig
206647,Spectre,27319,Christoph Waltz
206647,Spectre,121529,Léa Seydoux
206647,Spectre,5469,Ralph Fiennes
206647,Spectre,28782,Monica Bellucci
49026,The Dark Knight Rises,3894,Christian Bale
49026,The Dark Knight Rises,3895,Michael Caine
49026,The Dark Knight Rises,64,Gary Oldman
49026,The Dark Knight Rises,1813,Anne Hathaway
49026,The Dark Knight Rises,2524,Tom Hardy
49529,John Carter,60900,Taylor Kitsch
49529,John Carter,21044,Lynn Collins
49529,John Carter,2206,Samantha Morton
49529,John Carter,5293,Willem Dafoe
49529,John Carter,19159,Thomas Haden Church
559,Spider-Man 3,2219,Tobey Maguire
559,Spider-Man 3,205,Kirsten Dunst
559,Spider-Man 3,17051,James Franco
559,Spider-Man 3,19159,Thomas Haden Church
559,Spider-Man 3,17052,Topher Grace
38757,Tangled,69899,Zachary Levi
38757,Tangled,16855,Mandy Moore
38757,Tangled,2517,Donna Murphy
38757,Tangled,2372,Ron Perlman
38757,Tangled,22132,M.C. Gainey
99861,Avengers: Age of Ultron,3223,Robert Downey Jr.
99861,Avengers: Age of Ultron,74568,Chris Hemsworth
99861,Avengers: Age of Ultron,103,Mark Ruffalo
99861,Avengers: Age of Ultron,16828,Chris Evans
99861,Avengers: Age of Ultron,1245,Scarlett Johansson
767,Harry Potter and the Half-Blood Prince,10980,Daniel Radcliffe
767,Harry Potter and the Half-Blood Prince,10989,Rupert Grint
767,Harry Potter and the Half-Blood Prince,10990,Emma Watson
767,Harry Potter and the Half-Blood Prince,10993,Tom Felton
767,Harry Potter and the Half-Blood Prince,5658,Michael Gambon
209112,Batman v Superman: Dawn of Justice,880,Ben Affleck
209112,Batman v Superman: Dawn of Justice,73968,Henry Cavill
209112,Batman v Superman: Dawn of Justice,90633,Gal Gadot
209112,Batman v Superman: Dawn of Justice,9273,Amy Adams
209112,Batman v Superman: Dawn of Justice,44735,Jesse Eisenberg
1452,Superman Returns,17271,Brandon Routh
1452,Superman Returns,1979,Kevin Spacey
1452,Superman Returns,7517,Kate Bosworth
1452,Superman Returns,11006,James Marsden
1452,Superman Returns,7489,Parker Posey
10764,Quantum of Solace,8784,Daniel Craig
10764,Quantum of Solace,18182,Olga Kurylenko
10764,Quantum of Solace,8789,Mathieu Amalric
10764,Quantum of Solace,5309,Judi Dench
10764,Quantum of Solace,3753,Giancarlo Giannini
58,Pirates of the Caribbean: Dead Man's Chest,85,Johnny Depp
58,Pirates of the Caribbean: Dead Man's Chest,114,Orlando Bloom
58,Pirates of the Caribbean: Dead Man's Chest,116,Keira Knightley
58,Pirates of the Caribbean: Dead Man's Chest,1640,Stellan Skarsgård
58,Pirates of the Caribbean: Dead Man's Chest,2440,Bill Nighy
57201,The Lone Ranger,85,Johnny Depp
57201,The Lone Ranger,53807,Armie Hammer
57201,The Lone Ranger,886,William Fichtner
57201,The Lone Ranger,1283,Helena Bonham Carter
57201,The Lone Ranger,18473,James Badge Dale
49521,Man of Steel,73968,Henry Cavill
49521,Man of Steel,9273,Amy Adams
49521,Man of Steel,335,Michael Shannon
49521,Man of Steel,1269,Kevin Costner
49521,Man of Steel,2882,Diane Lane
2454,The Chronicles of Narnia: Prince Caspian,25130,Ben Barnes
2454,The Chronicles of Narnia: Prince Caspian,5528,William Moseley
2454,The Chronicles of Narnia: Prince Caspian,5529,Anna Popplewell
2454,The Chronicles of Narnia: Prince Caspian,5527,Skandar Keynes
2454,The Chronicles of Narnia: Prince Caspian,5526,Georgie Henley
24428,The Avengers,3223,Robert Downey Jr.
24428,The Avengers,16828,Chris Evans
24428,The Avengers,103,Mark Ruffalo
24428,The Avengers,74568,Chris Hemsworth
24428,The Avengers,1245,Scarlett Johansson
1865,Pirates of the Caribbean: On Stranger Tides,85,Johnny Depp
1865,Pirates of the Caribbean: On Stranger Tides,955,Penélope Cruz
1865,Pirates of the Caribbean: On Stranger Tides,6972,Ian McShane
1865,Pirates of the Caribbean: On Stranger Tides,2449,Kevin McNally
1865,Pirates of the Caribbean: On Stranger Tides,118,Geoffrey Rush
41154,Men in Black 3,2888,Will Smith
41154,Men in Black 3,2176,Tommy Lee Jones
41154,Men in Black 3,16851,Josh Brolin
41154,Men in Black 3,72873,Michael Stuhlbarg
41154,Men in Black 3,7056,Emma Thompson
122917,The Hobbit: The Battle of the Five Armies,7060,Martin Freeman
122917,The Hobbit: The Battle of the Five Armies,1327,Ian McKellen
122917,The Hobbit: The Battle of the Five Armies,30315,Richard Armitage
122917,The Hobbit: The Battle of the Five Armies,25136,Ken Stott
122917,The Hobbit: The Battle of the Five Armies,95047,Graham McTavish
1930,The Amazing Spider-Man,37625,Andrew Garfield
1930,The Amazing Spider-Man,54693,Emma Stone
1930,The Amazing Spider-Man,7026,Rhys Ifans
1930,The Amazing Spider-Man,5724,Denis Leary
1930,The Amazing Spider-Man,55152,Campbell Scott
20662,Robin Hood,934,Russell Crowe
20662,Robin Hood,112,Cate Blanchett
20662,Robin Hood,2201,Max von Sydow
20662,Robin Hood,227,William Hurt
20662,Robin Hood,2983,Mark Strong
57158,The Hobbit: The Desolation of Smaug,7060,Martin Freeman
57158,The Hobbit: The Desolation of Smaug,1327,Ian McKellen
57158,The Hobbit: The Desolation of Smaug,30315,Richard Armitage
57158,The Hobbit: The Desolation of Smaug,25136,Ken Stott
57158,The Hobbit: The Desolation of Smaug,95047,Graham McTavish
2268,The Golden Compass,45589,Dakota Blue Richards
2268,The Golden Compass,2227,Nicole Kidman
2268,The Golden Compass,8784,Daniel Craig
2268,The Golden Compass,16431,Sam Elliott
2268,The Golden Compass,10912,Eva Green
254,King Kong,3489,Naomi Watts
254,King Kong,70851,Jack Black
254,King Kong,3490,Adrien Brody
254,King Kong,3491,Thomas Kretschmann
254,King Kong,3492,Colin Hanks
597,Titanic,204,Kate Winslet
597,Titanic,6193,Leonardo DiCaprio
597,Titanic,3713,Frances Fisher
597,Titanic,1954,Billy Zane
597,Titanic,8534,Kathy Bates
271110,Captain America: Civil War,16828,Chris Evans
271110,Captain America: Civil War,3223,Robert Downey Jr.
271110,Captain America: Civil War,1245,Scarlett Johansson
271110,Captain America: Civil War,60898,Sebastian Stan
271110,Captain America: Civil War,53650,Anthony Mackie
44833,Battleship,60900,Taylor Kitsch
44833,Battleship,28846,Alexander Skarsgård
44833,Battleship,131519,Rihanna
44833,Battleship,131520,Brooklyn Decker
44833,Battleship,13275,Tadanobu Asano
135397,Jurassic World,73457,Chris Pratt
135397,Jurassic World,18997,Bryce Dallas Howard
135397,Jurassic World,76793,Irrfan Khan
135397,Jurassic World,7132,Vincent D'Onofrio
135397,Jurassic World,1108907,Nick Robinson
37724,Skyfall,8784,Daniel Craig
37724,Skyfall,5309,Judi Dench
37724,Skyfall,3810,Javier Bardem
37724,Skyfall,5469,Ralph Fiennes
37724,Skyfall,2038,Naomie Harris
558,Spider-Man 2,2219,Tobey Maguire
558,Spider-Man 2,205,Kirsten Dunst
558,Spider-Man 2,17051,James Franco
558,Spider-Man 2,658,Alfred Molina
558,Spider-Man 2,18998,Rosemary Harris
68721,Iron Man 3,3223,Robert Downey Jr.
68721,Iron Man 3,12052,Gwyneth Paltrow
68721,Iron Man 3,1896,Don Cheadle
68721,Iron Man 3,529,Guy Pearce
68721,Iron Man 3,15556,Rebecca Hall
12155,Alice in Wonderland,76070,Mia Wasikowska
12155,Alice in Wonderland,85,Johnny Depp
12155,Alice in Wonderland,1813,Anne Hathaway
12155,Alice in Wonderland,1283,Helena Bonham Carter
12155,Alice in Wonderland,1064,Crispin Glover
36668,X-Men: The Last Stand,6968,Hugh Jackman
36668,X-Men: The Last Stand,4587,Halle Berry
36668,X-Men: The Last Stand,1327,Ian McKellen
36668,X-Men: The Last Stand,2387,Patrick Stewart
36668,X-Men: The Last Stand,10696,Famke Janssen
62211,Monsters University,7904,Billy Crystal
62211,Monsters University,1230,John Goodman
62211,Monsters University,884,Steve Buscemi
62211,Monsters University,15735,Helen Mirren
62211,Monsters University,1271300,Noah Johnston
8373,Transformers: Revenge of the Fallen,10959,Shia LaBeouf
8373,Transformers: Revenge of the Fallen,19537,Megan Fox
8373,Transformers: Revenge of the Fallen,19536,Josh Duhamel
8373,Transformers: Revenge of the Fallen,11678,Rainn Wilson
8373,Transformers: Revenge of the Fallen,8169,Tyrese Gibson
91314,Transformers: Age of Extinction,13240,Mark Wahlberg
91314,Transformers: Age of Extinction,2283,Stanley Tucci
91314,Transformers: Age of Extinction,7090,Kelsey Grammer
