movie_id,movie_title,keyword_id,keyword_name
19995,Avatar,1463,culture clash
19995,Avatar,2964,future
19995,Avatar,3386,space war
19995,Avatar,3388,space colony
19995,Avatar,3679,society
285,Pirates of the Caribbean: At World's End,270,ocean
285,Pirates of the Caribbean: At World's End,726,drug abuse
285,Pirates of the Caribbean: At World's End,911,exotic island
285,Pirates of the Caribbean: At World's End,1319,east india trading company
285,Pirates of the Caribbean: At World's End,2038,love of one's life
206647,Spectre,470,spy
206647,Spectre,818,based on novel
206647,Spectre,4289,secret agent
206647,Spectre,9663,sequel
206647,Spectre,14555,mi6
49026,The Dark Knight Rises,849,dc comics
49026,The Dark Knight Rises,853,crime fighter
49026,The Dark Knight Rises,949,terrorist
49026,The Dark Knight Rises,1308,secret identity
49026,The Dark Knight Rises,1437,burglar
49529,John Carter,818,based on novel
49529,John Carter,839,mars
49529,John Carter,1456,medallion
49529,John Carter,3801,space travel
49529,John Carter,7376,princess
559,Spider-Man 3,851,dual identity
559,Spider-Man 3,1453,amnesia
559,Spider-Man 3,1965,sandstorm
559,Spider-Man 3,2038,love of one's life
559,Spider-Man 3,3446,forgiveness
38757,Tangled,1562,hostage
38757,Tangled,2343,magic
38757,Tangled,2673,horse
38757,Tangled,3205,fairy tale
38757,Tangled,4344,musical
99861,Avengers: Age of Ultron,8828,marvel comic
99861,Avengers: Age of Ultron,9663,sequel
99861,Avengers: Age of Ultron,9715,superhero
99861,Avengers: Age of Ultron,9717,based on comic book
99861,Avengers: Age of Ultron,10629,vision
767,Harry Potter and the Half-Blood Prince,616,witch
767,Harry Potter and the Half-Blood Prince,2343,magic
767,Harry Potter and the Half-Blood Prince,3872,broom
767,Harry Potter and the Half-Blood Prince,3884,school of witchcraft
767,Harry Potter and the Half-Blood Prince,6333,wizardry
209112,Batman v Superman: Dawn of Justice,849,dc comics
209112,Batman v Superman: Dawn of Justice,7002,vigilante
209112,Batman v Superman: Dawn of Justice,9715,superhero
209112,Batman v Superman: Dawn of Justice,9717,based on comic book
209112,Batman v Superman: Dawn of Justice,9748,revenge
1452,Superman Returns,83,saving the world
1452,Superman Returns,849,dc comics
1452,Superman Returns,8872,invulnerability
1452,Superman Returns,9663,sequel
1452,Superman Returns,9715,superhero
10764,Quantum of Solace,627,killing
10764,Quantum of Solace,1568,undercover
10764,Quantum of Solace,4289,secret agent
10764,Quantum of Solace,156095,british secret service
58,Pirates of the Caribbean: Dead Man's Chest,616,witch
58,Pirates of the Caribbean: Dead Man's Chest,663,fortune teller
58,Pirates of the Caribbean: Dead Man's Chest,910,bondage
